,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27,Intra-cortex
Cortex_1,0.025201086165893,1.563742744369713,0.014734919282872114,0.035185506221946404,0.0007451906337855182,0.0,1.6459305495819444e-06,0.0,0.0,2.3098277397691377e-05,0.0003245488813185261,0.00030050855362460173,0.009493179269930341,0.00034025507133227134,0.0,0.0,6.060100276954375e-05,0.030664942079932304,0.0,6.432514055631944e-06,0.0,2.4889039475685577e-05,0.008051871950357286,0.010920746935771707,0.003710892784669053,0.00995113935950053,0.003333708388026925,0.06358584839677486
Cortex_2,0.0,0.6466142144359529,0.07472671734155317,0.05852691028278022,0.013712618326479919,0.0,0.0,0.0,0.0,0.00010742553588890035,0.00043711931835696246,0.00020750234606500896,0.0031394963645285795,0.00025220335744110774,5.101925150180833e-05,0.0,0.000431447975319628,0.004383037790258608,1.6331275295063593e-07,5.696812911115799e-06,2.3584791830654224e-05,0.0,0.021934768335108313,0.00516098930802723,0.0022936584291600175,0.0015202296809382777,0.0018984655046184167,0.0888581486248588
Cortex_3,0.0,0.0,0.07285849158893794,0.00026810836945384076,0.002086633994448377,9.572708707612917e-06,0.0,5.718333573852202e-09,0.0,1.422911408948949e-05,5.657464555186397e-05,2.7917111792260796e-05,4.256721577474275e-05,1.9443453950106583e-05,2.062979134886167e-05,0.0029042080602441306,0.0035719822277555506,0.009283088149710067,0.0,0.0,0.0,0.0,0.0,0.0006115023744532447,0.00048991960505795,0.00024981073333425887,0.00011187885297658589,0.0067440074200128056
Cortex_4,0.0,0.0,0.0,0.053215245593093805,0.006123506603866529,1.0078821495491358e-07,0.0,0.0,0.0,0.0,5.851980252925891e-05,3.1184716685838685e-05,0.02153265068775869,0.00572624167985477,0.0,5.730928387492857e-06,1.4331854334820892e-05,0.00046805500569739155,2.5198325082392853e-06,5.669579051090801e-06,3.272915804617159e-07,0.0,0.023467882275181283,0.00045368819807630595,0.00013871687659523918,0.001447867314300524,5.26971429540675e-07,0.007654566328641731
Cortex_5,0.0,0.0,0.0,0.0,0.03671203503214166,2.954306461167944e-05,3.390756139623611e-06,7.050171714289227e-05,1.7772027301055556e-06,0.0,1.1123220008276612e-06,3.8400336814256164e-06,0.000357617094953851,0.007218450042560894,0.013303706027804413,6.675941447950808e-05,0.002972392532835826,5.289525055701337e-05,0.0,0.0,9.726080199111266e-06,6.929537306632328e-06,3.8271057083943055e-05,0.00019104842708451522,5.887874572669249e-05,1.0125526841875392e-05,0.0,0.003102849978683808
Cortex_6,0.0,0.0,0.0,0.0,0.0,0.21180564153886458,0.04384952458958967,0.048000722486946985,0.021110937788859006,6.981598359518254e-05,8.452114416712561e-05,9.459793324351341e-05,2.1835187803709125e-05,0.0005200057441556389,0.00016213531254379439,0.012798733198543515,0.008026096533634508,1.7086600505814076e-05,1.4345882267008106e-06,0.0,0.0013664838836415275,0.00032396986547666295,0.0029786563490259003,0.020104749163436877,0.010924715424643853,9.210996049659999e-05,0.028538553752643858,0.01521968679968812
Cortex_7,0.0,0.0,0.0,0.0,0.0,0.0,0.054439114874247914,0.013004073912745821,0.0008513312265959633,6.438222441381944e-06,1.079979155191493e-06,0.00011633007021366442,1.301548643873987e-06,1.944893104640243e-05,1.0975818598681686e-06,0.0038196131565122952,3.0350144101287278e-05,0.004261259036264305,0.005637601235689845,0.0,3.602060164261257e-05,0.004909354938768983,0.0008323393066689221,0.011968467416039331,0.006444227838734138,8.468842363779653e-05,0.014165637520799655,0.0060920124904477084
Cortex_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03276059421531773,0.003270956231160956,0.00011079031043678037,0.0004062860948725131,0.0032381452397535785,7.78743843114732e-06,0.0006804124741674189,0.00021237107212750543,0.00024471179174459414,0.0002979561189800523,7.943372131174176e-06,6.458389957335903e-05,0.0,0.011832967119001803,0.010363305632333574,0.0002460371272872739,0.004028531667828495,0.004050272120761063,4.6026876329303564e-06,0.004158033896408132,0.005076355272041457
Cortex_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030319931689335066,0.011580226616722653,0.0004677728079341565,0.008809377119156284,2.6831656896320064e-09,0.0001835320103351986,0.00032336935319292803,4.388484854850043e-05,0.0012423159962268043,1.8779000339025e-06,1.4102161503614727e-05,0.0,7.632122068786e-05,0.0001771297506119029,0.0,0.00036578391941723457,0.0035622401128401204,2.2066250215946376e-11,0.0013108800114423494,0.003100509284169132
Cortex_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1046783188873399,0.039233737206871525,0.005490786398529865,0.0,6.546369959987224e-05,0.0070570768212908815,1.9342865642052856e-05,0.0032271724516789403,2.5989643040951922e-06,0.0,2.938511840063492e-07,5.856778592360294e-05,1.6751826998576921e-06,1.2769249484075e-05,0.0002554971846393507,0.010748278539631681,0.0,9.285118520299948e-05,0.006772461271651659
Cortex_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0705703881835764,0.007458587637780958,4.540391125340512e-05,0.028518626727866998,0.023303483083961355,2.7875920355743402e-06,0.0011439518023407893,1.4203255954743222e-05,6.854940728025521e-06,1.2251230303818994e-05,0.00016352204708047064,5.4507176295931e-06,0.0,0.00021062588271635884,0.0005598247409959426,6.0689127877821336e-05,0.0002699589607573141,0.0064228845202080566
Cortex_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019587415632540676,0.0002974672523950265,0.003732669782341229,5.8043165454937985e-05,4.2427669251099e-06,1.981192646039746e-05,8.89829312660905e-06,0.0005560133036753868,0.003136607327604933,0.013454858259903769,0.0006352564846829733,3.6822294608401985e-05,0.001140344220163842,0.036418814202160844,0.0068268389243461005,0.00025008612989035585,0.004146035819511392
Cortex_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03803904890927595,0.021771098493765434,2.404156293778125e-06,0.0,1.589292507059281e-05,0.0026952424169923643,0.00021258542502214286,9.667294758881048e-05,1.5707979709547737e-06,1.5713152816504806e-06,0.002520658113277948,0.006614004549998418,0.0023712340690302076,0.14080676299232017,0.007967098145891244,0.009557598293052546
Cortex_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07449831049005376,0.012051168915324992,1.8170509952852654e-05,0.0014099392186581663,5.770072080989182e-07,0.00015913529906562377,0.00033683666507375575,0.0002312077029212119,6.758716236432381e-05,0.0011441897078157124,0.0010980271729352819,0.00500270510257055,0.0057216684987147935,2.9066157480883687e-07,0.006325469095653752
Cortex_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045433043255509294,1.0323004935343749e-05,0.03452059994776678,1.5194267367545296e-05,4.906624781142188e-07,0.0,9.195747690397055e-05,5.049481118991899e-06,0.0,2.8185449991724453e-07,0.00016885457219739574,0.0,0.0,0.005066381446499351
Cortex_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025232307068473382,0.012208398211226247,0.006570955145816517,3.2072733802117187e-07,0.0,6.479352628612677e-06,6.7072005654503125e-06,4.054942709217273e-05,0.0005000622933600554,0.000223970198096824,1.506543731010625e-06,0.0007870528597102522,0.002426548783925538
Cortex_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055644684108371145,0.0003216988276148084,0.0,0.0,1.8283423781262914e-05,1.5306237838348224e-05,1.2280712689970002e-05,4.096504371204741e-05,0.00012258340240824825,0.0,0.00017207046466864297,0.004649670855194237
Cortex_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04410490251847268,0.001399412008414319,1.910915283817391e-06,1.8856740846461284e-07,2.4518954926874036e-06,0.00027349472237312117,0.0005083697306925433,0.00019520746467579256,0.00717671635081237,7.412062362933262e-05,0.004166901042990017
Cortex_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03222077536036352,0.01215216759178987,0.00016855748485077206,0.0038960264833307226,1.702695226413125e-05,0.0008891602478740927,0.005979454808685208,0.0011631200780121975,0.00030852232680444693,0.0024018529159611592
Cortex_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02945796378676927,0.004539693300910535,0.0025498728353309293,0.0,0.0004104343653029028,0.011955585528842239,0.00010470679396866413,8.376083415997639e-07,0.002399023468678259
Cortex_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023832823265036496,0.005200401156695965,0.0,0.0014568329702959251,0.002715654868590668,9.028685983341519e-06,0.00020337258743236109,0.002425867804551941
Cortex_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03961109003471178,0.00010429718251823557,0.0021137510588921517,0.0008014867435833701,1.3232644190653364e-05,0.0007078196970487928,0.0026498004547388853
Cortex_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.590623551635025,0.32058468630861425,0.0074740561252156406,0.0024067093411174376,6.054234701361275,0.5939642822049661
Cortex_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8943893990531744,0.6213780160062812,0.16864618005174514,5.275343845282904,0.30923651817362724
Cortex_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4079636530159812,0.04591563977404918,0.16909301644906444,0.05039857620556477
Cortex_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08665900212703107,0.025235447304812374,0.01867066010916524
Cortex_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4291947695017537
